-181.640, 74.145, 2.432,  3.646
-181.623, 74.066, 2.428,  3.679
-181.607, 73.987, 2.405,  3.712
-181.591, 73.909, 2.368,  3.745
-181.574, 73.834, 2.330,  3.778
-181.557, 73.759, 2.276,  3.811
-181.542, 73.687, 2.216,  3.844
-181.528, 73.617, 2.153,  3.877
-181.514, 73.549, 2.066,  3.910
-181.502, 73.483, 2.003,  3.943
-181.490, 73.419, 1.966,  3.976
-181.479, 73.355, 1.954,  4.009
-181.468, 73.290, 1.971,  4.042
-181.457, 73.223, 2.021,  4.075
-181.446, 73.154, 2.115,  4.108
-181.435, 73.080, 2.231,  4.141
-181.424, 73.002, 2.358,  4.174
-181.412, 72.920, 2.488,  4.207
-181.400, 72.833, 2.603,  4.240
-181.387, 72.745, 2.673,  4.273
-181.376, 72.655, 2.700,  4.306
-181.365, 72.565, 2.697,  4.339
-181.354, 72.477, 2.673,  4.372
-181.344, 72.389, 2.633,  4.405
-181.335, 72.304, 2.582,  4.438
-181.326, 72.220, 2.523,  4.471
-181.318, 72.138, 2.458,  4.504
-181.311, 72.059, 2.390,  4.537
-181.304, 71.982, 2.319,  4.570
-181.297, 71.908, 2.225,  4.603
-181.292, 71.836, 2.150,  4.636
-181.287, 71.766, 2.108,  4.669
-181.283, 71.696, 2.096,  4.702
-181.278, 71.626, 2.116,  4.735
-181.274, 71.553, 2.173,  4.768
-181.270, 71.478, 2.263,  4.801
-181.265, 71.399, 2.372,  4.834
-181.261, 71.315, 2.494,  4.867
-181.256, 71.228, 2.621,  4.900
-181.251, 71.137, 2.731,  4.933
-181.247, 71.043, 2.801,  4.966
-181.242, 70.949, 2.828,  4.999
-181.237, 70.854, 2.824,  5.032
-181.235, 70.761, 2.793,  5.065
-181.232, 70.669, 2.750,  5.098
-181.230, 70.579, 2.697,  5.131
-181.228, 70.492, 2.635,  5.164
-181.226, 70.406, 2.568,  5.197
-181.224, 70.323, 2.496,  5.230
-181.222, 70.243, 2.403,  5.263
-181.221, 70.165, 2.330,  5.296
-181.220, 70.089, 2.285,  5.329
-181.218, 70.013, 2.276,  5.362
-181.217, 69.937, 2.297,  5.395
